municipio,rio,data,hora,latitude,longitude,choveu,ph,od,turbidez,temperatura,condutividade,std,fosforo,nitrogenio,salinidade,rio_original,status_ph,status_od,status_turbidez,indice_problemas,status_ph_graf,status_od_graf,status_turb_graf
SAO LUIS,RIO BACANGA,2019-11-13,07:55:00,-2.56239,-44.28729,Não,1.56,2.2,246.0,,23610.0,15100.0,,,14.5,RIO BACANGA,Não Conforme,Não Conforme,Não Conforme,3,Fora do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO JAGUAREMA,2019-11-13,09:23:00,-2.47785,-44.2104,Não,6.25,84.7,1.99,27.4,206.2,100.0,,,0.1,RIO JAGUAREMA,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ANIL,2019-11-12,07:41:00,-2.52398,-44.2791,Não,7.75,5.35,50.4,28.19,50583.0,31260.0,,,32.8,RIO ANIL,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO CALHAU,2019-11-12,13:10:00,-2.49303,-44.25415,Não,1.99,1.3,9.35,28.38,424.3,40.0,,,0.2,RIO CALHAU,Não Conforme,Não Conforme,Conforme,2,Fora do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO DOS CACHORROS,2019-11-12,08:49:00,-2.66709,-44.32006,Não,7.54,4.74,107.98,28.58,22200.0,29000.0,,,29.95,RIO DOS CACHORROS,Conforme,Não Conforme,Não Conforme,2,Dentro do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO ITAPIRACO,2019-11-12,14:24:00,-2.52331,-44.20011,Não,5.94,1.97,18.8,28.03,64.6,2260.0,,,0.03,RIO ITAPIRACO,Não Conforme,Não Conforme,Conforme,2,Fora do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2019-11-12,09:50:00,-2.68891,-44.21049,Não,7.61,4.98,499.0,29.37,46110.0,32540.0,,,29.82,RIO TIBIRI,Conforme,Não Conforme,Não Conforme,2,Dentro do Padrão,Fora do Padrão,Fora do Padrão
SAO LUIS,RIO TIBIRI,2019-11-12,11:12:00,-2.65075,-44.21424,Não,7.59,5.5,52.0,30.27,41810.0,27060.0,,,26.69,RIO TIBIRI,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO JAGUAREMA,2019-09-21,09:50:00,-2.47858,-44.2103,Não,5.74,6.6,1.72,27.3,216.5,,,,0.1,RIO JAGUAREMA,Não Conforme,Conforme,Conforme,1,Fora do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO ITAPIRACO,2019-09-20,15:30:00,-2.52333,-44.20012,Não,6.34,2.2,28.85,27.35,66.5,,,,0.03,RIO ITAPIRACO,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO BACANGA,2019-09-19,08:30:00,-2.56592,-44.28427,Não,4.2,5.23,4.87,28.55,36708.0,,,,23.15,RIO BACANGA,Não Conforme,Conforme,Conforme,1,Fora do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO CALHAU,2019-09-19,13:15:00,-2.4914,-44.25871,Não,4.33,0.25,28.7,28.7,404.9,,,,0.19,RIO CALHAU,Não Conforme,Não Conforme,Conforme,2,Fora do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO ANIL,2019-09-18,07:45:00,-2.53104,-44.27464,Não,7.77,5.3,30.7,27.6,44830.0,,,,28.9,RIO ANIL,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2019-09-18,12:00:00,-2.65107,-44.21425,Não,7.51,4.22,30.15,28.89,36389.0,,,,22.89,RIO TIBIRI,Conforme,Não Conforme,Conforme,1,Dentro do Padrão,Fora do Padrão,Dentro do Padrão
SAO LUIS,RIO TIBIRI,2019-09-17,10:20:00,-2.68905,-44.21021,Não,7.94,6.27,20.3,29.09,40483.0,,,,25.77,RIO TIBIRI,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO DOS CACHORROS,2019-09-16,09:03:00,-2.66701,-44.32013,Não,7.65,5.43,23.93,28.46,41359.0,,,,26.41,RIO DOS CACHORROS,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
SAO LUIS,RIO BACANGA,2019-07-03,08:51:00,-2.56591,-44.2844,NÃO,7.03,5.2,14.01,27.3,12156.0,,,,6.89,,Conforme,Conforme,Conforme,0,Dentro do Padrão,Dentro do Padrão,Dentro do Padrão
